iter	Passed	Remaining
1100	96936	79223
1101	96952	79076
1102	96969	78930
1103	96996	78793
1104	97010	78645
1105	97032	78504
1106	97056	78364
1107	97074	78221
1108	97095	78079
1109	97115	77937
1110	97133	77794
1111	97155	77654
1112	97187	77523
1113	97224	77394
1114	97256	77264
1115	97280	77126
1116	97297	76983
1117	97311	76838
1118	97329	76697
1119	97350	76558
1120	97382	76427
1121	97410	76294
1122	97433	76157
1123	97457	76021
1124	97479	75884
1125	97497	75744
1126	97515	75604
1127	97536	75467
1128	97554	75328
1129	97574	75190
1130	97592	75051
1131	97628	74926
1132	97646	74787
1133	97661	74647
1134	97678	74508
1135	97697	74370
1136	97714	74232
1137	97737	74098
1138	97762	73966
1139	97791	73837
1140	97812	73702
1141	97849	73580
1142	97868	73444
1143	97886	73307
1144	97901	73169
1145	97915	73030
1146	97931	72892
1147	97949	72757
1148	97965	72620
1149	97981	72484
1150	97999	72348
1151	98015	72213
1152	98050	72091
1153	98071	71958
1154	98090	71825
1155	98108	71691
1156	98129	71559
1157	98147	71426
1158	98174	71299
1159	98220	71186
1160	98249	71061
1161	98267	70928
1162	98282	70793
1163	98298	70659
1164	98311	70524
1165	98323	70388
1166	98340	70255
1167	98361	70125
1168	98378	69993
1169	98395	69861
1170	98415	69732
1171	98434	69601
1172	98453	69471
1173	98483	69349
1174	98501	69219
1175	98519	69089
1176	98534	68957
1177	98549	68825
1178	98570	68698
1179	98600	68577
1180	98634	68459
1181	98666	68339
1182	98685	68211
1183	98702	68081
1184	98721	67954
1185	98738	67825
1186	98754	67695
1187	98773	67568
1188	98801	67447
1189	98849	67340
1190	98877	67220
1191	98896	67093
1192	98911	66964
1193	98928	66836
1194	98944	66708
1195	98960	66580
1196	98983	66457
1197	99014	66340
1198	99041	66220
1199	99068	66100
1200	99090	65978
1201	99113	65855
1202	99136	65733
1203	99156	65609
1204	99177	65487
1205	99206	65369
1206	99259	65267
1207	99310	65164
1208	99333	65043
1209	99357	64923
1210	99385	64805
1211	99410	64686
1212	99437	64568
1213	99466	64452
1214	99495	64336
1215	99527	64221
1216	99582	64122
1217	99627	64017
1218	99674	63912
1219	99766	63837
1220	99825	63740
1221	99869	63634
1222	99902	63522
1223	99942	63413
1224	99973	63300
1225	100004	63186
1226	100073	63096
1227	100115	62990
1228	100204	62913
1229	100266	62819
1230	100305	62711
1231	100340	62601
1232	100380	62493
1233	100410	62379
1234	100459	62278
1235	100508	62176
1236	100554	62073
1237	100593	61966
1238	100656	61873
1239	100711	61776
1240	100751	61669
1241	100808	61573
1242	100850	61468
1243	100886	61359
1244	100943	61263
1245	100981	61156
1246	101028	61055
1247	101066	60948
1248	101119	60849
1249	101181	60757
1250	101232	60658
1251	101269	60551
1252	101339	60463
1253	101378	60358
1254	101441	60266
1255	101489	60165
1256	101535	60064
1257	101588	59967
1258	101649	59874
1259	101703	59778
1260	101777	59693
1261	101853	59609
1262	101920	59520
1263	101963	59418
1264	102001	59312
1265	102037	59205
1266	102075	59100
1267	102111	58994
1268	102194	58914
1269	102267	58830
1270	102327	58737
1271	102376	58638
1272	102433	58545
1273	102506	58460
1274	102558	58363
1275	102598	58259
1276	102656	58166
1277	102736	58085
1278	102829	58012
